epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,152.075,0.93363,0.9657,0.93717,0.97571,1,0.995,0.75876,0.86197,1.12461,0.88781,0.000999282,0.000999282,0.000999282
45,155.166,0.92097,1.01091,0.94437,0.97571,1,0.995,0.75876,0.86197,1.12461,0.88781,0.00100463,0.00100463,0.00100463
46,158.271,0.85042,0.80734,0.92964,0.98034,1,0.995,0.75843,0.82225,0.90758,0.88758,0.00100919,0.00100919,0.00100919
47,161.375,0.78719,0.81766,0.9153,0.98034,1,0.995,0.75843,0.82225,0.90758,0.88758,0.00101296,0.00101296,0.00101296
48,164.493,0.92297,1.071,0.90282,0.98034,1,0.995,0.75843,0.82225,0.90758,0.88758,0.00101593,0.00101593,0.00101593
49,167.607,0.73451,0.81339,0.88902,0.98034,1,0.995,0.75843,0.82225,0.90758,0.88758,0.00101811,0.00101811,0.00101811
50,170.747,0.74672,0.82354,0.85515,0.98436,1,0.995,0.82056,0.82669,0.90609,0.88304,0.0010195,0.0010195,0.0010195
51,173.888,0.79877,0.77017,0.83994,0.98436,1,0.995,0.82056,0.82669,0.90609,0.88304,0.00101,0.00101,0.00101
52,177.15,0.74659,0.81902,0.87377,0.98436,1,0.995,0.82056,0.82669,0.90609,0.88304,0.0009902,0.0009902,0.0009902
53,180.366,0.7921,0.77136,0.90471,0.98436,1,0.995,0.82056,0.82669,0.90609,0.88304,0.0009704,0.0009704,0.0009704
54,183.646,0.72242,0.97286,0.9252,0.9882,1,0.995,0.83734,0.72532,0.90242,0.85138,0.0009506,0.0009506,0.0009506
55,187.398,0.95144,0.95827,1.00236,0.9882,1,0.995,0.83734,0.72532,0.90242,0.85138,0.0009308,0.0009308,0.0009308
56,191.033,0.93536,1.10104,0.94811,0.9882,1,0.995,0.83734,0.72532,0.90242,0.85138,0.000911,0.000911,0.000911
57,194.393,0.78006,0.85625,0.87717,0.9882,1,0.995,0.83734,0.72532,0.90242,0.85138,0.0008912,0.0008912,0.0008912
58,197.76,0.76878,0.87073,0.87241,0.98378,1,0.995,0.87063,0.63981,0.89322,0.83931,0.0008714,0.0008714,0.0008714
59,201.001,0.7834,0.84349,0.85849,0.98378,1,0.995,0.87063,0.63981,0.89322,0.83931,0.0008516,0.0008516,0.0008516
60,204.223,0.69985,0.72086,0.85158,0.98378,1,0.995,0.87063,0.63981,0.89322,0.83931,0.0008318,0.0008318,0.0008318
61,207.442,0.67727,0.91169,0.87287,0.98378,1,0.995,0.87063,0.63981,0.89322,0.83931,0.000812,0.000812,0.000812
62,210.708,0.77071,0.81194,0.894,0.98161,1,0.995,0.87892,0.60687,0.8057,0.83604,0.0007922,0.0007922,0.0007922
63,213.941,0.80042,0.8622,0.93853,0.98161,1,0.995,0.87892,0.60687,0.8057,0.83604,0.0007724,0.0007724,0.0007724
64,217.14,0.83412,0.78395,0.90379,0.98161,1,0.995,0.87892,0.60687,0.8057,0.83604,0.0007526,0.0007526,0.0007526
65,220.241,0.7386,0.84128,0.89899,0.98161,1,0.995,0.87892,0.60687,0.8057,0.83604,0.0007328,0.0007328,0.0007328
66,223.406,0.69519,0.78765,0.88305,0.98521,1,0.995,0.82917,0.62992,0.67346,0.83867,0.000713,0.000713,0.000713
